0,1,2
6.41564E+17,tinetus,B-Symptom
6.41564E+17,not,O
6.41564E+17,:,O
6.41564E+17,(,O
6.41609E+17,OMG,O
6.41609E+17,my,O
6.41609E+17,ass,O
6.41609E+17,😭,O
6.41609E+17,I,O
6.41609E+17,just,O
6.41609E+17,had,O
6.41609E+17,a,O
6.41609E+17,cortisone,B-Drug
6.41609E+17,injection,O
6.41609E+17,to,O
6.41609E+17,sort,O
6.41609E+17,out,O
6.41609E+17,my,O
6.41609E+17,allergies,O
6.41609E+17,&,O
6.41609E+17,amp,O
6.41609E+17,;,O
6.41609E+17,this,O
6.41609E+17,weird,O
6.41609E+17,rash,B-Symptom
6.41609E+17,that,O
6.41609E+17,keeps,O
6.41609E+17,appearing,O
6.41609E+17,on,O
6.41609E+17,my,O
6.41609E+17,face,O
6.41609E+17,.,O
6.41609E+17,HATE,O
6.41609E+17,needles,O
6.41609E+17,😩,O
6.41609E+17,😖,O
6.41609E+17,😰,O
6.41609E+17,😪,O
6.4161E+17,bad,O
6.4161E+17,thing,O
6.4161E+17,about,O
6.4161E+17,only,O
6.4161E+17,sleeping,O
6.4161E+17,5,O
6.4161E+17,hours,O
6.4161E+17,:,O
6.4161E+17,trazodone,B-Drug
6.4161E+17,not,O
6.4161E+17,worn,O
6.4161E+17,off,O
6.4161E+17,yet,O
6.4161E+17,when,O
6.4161E+17,it,O
6.4161E+17,',O
6.4161E+17,s,O
6.4161E+17,time,O
6.4161E+17,to,O
6.4161E+17,wake,O
6.4161E+17,up,O
6.4161E+17,.,O
6.4161E+17,😴,O
6.41617E+17,Lower,O
6.41617E+17,dose,O
6.41617E+17,of,O
6.41617E+17,Ritalin,B-Drug
6.41617E+17,and,O
6.41617E+17,a,O
6.41617E+17,higher,O
6.41617E+17,dose,O
6.41617E+17,of,O
6.41617E+17,Cymbalta,B-Drug
6.41617E+17,.,O
6.41617E+17,Told,O
6.41617E+17,my,O
6.41617E+17,dr,O
6.41617E+17,how,O
6.41617E+17,much,O
6.41617E+17,trouble,O
6.41617E+17,I,O
6.41617E+17,have,O
6.41617E+17,sleeping,B-Symptom
6.41617E+17,.,O
6.41617E+17,Hope,O
6.41617E+17,this,O
6.41617E+17,helps,O
6.41617E+17,.,O
6.41626E+17,*,O
6.41626E+17,takes,O
6.41626E+17,vyvanse,B-Drug
6.41626E+17,*,O
6.41626E+17,*,O
6.41626E+17,falls,B-Symptom
6.41626E+17,asleep,I-Symptom
6.41626E+17,",",O
6.41626E+17,feels,O
6.41626E+17,worse,O
6.41626E+17,*,O
6.4163E+17,Nivolumab,O
6.4163E+17,May,O
6.4163E+17,Be,O
6.4163E+17,Better,O
6.4163E+17,Than,O
6.4163E+17,Chemo,O
6.4163E+17,For,O
6.4163E+17,Certain,O
6.4163E+17,Patients,O
6.4163E+17,With,O
6.4163E+17,sqNSCLC,B-Disease
6.4163E+17,.,O
6.4163E+17,1,O
6.4163E+17,-,O
6.4163E+17,year,O
6.4163E+17,OS,O
6.4163E+17,of,O
6.4163E+17,42,O
6.4163E+17,%,O
6.4163E+17,-,O
6.4163E+17,nivo,O
6.4163E+17,vs,O
6.4163E+17,24,O
6.4163E+17,%,O
6.4163E+17,-,O
6.4163E+17,docetaxel,B-Drug
6.4163E+17,.,O
6.4163E+17,@,O
6.4163E+17,IASLC,O
6.4163E+17,#,O
6.4163E+17,WCLC2015,O
6.41663E+17,Results,O
6.41663E+17,of,O
6.41663E+17,E1505,O
6.41663E+17,announced,O
6.41663E+17,for,O
6.41663E+17,the,O
6.41663E+17,first,O
6.41663E+17,time,O
6.41663E+17,:,O
6.41663E+17,No,O
6.41663E+17,difference,O
6.41663E+17,in,O
6.41663E+17,OS,O
6.41663E+17,or,O
6.41663E+17,DFS,O
6.41663E+17,by,O
6.41663E+17,adding,O
6.41663E+17,Avastin,B-Drug
6.41663E+17,to,O
6.41663E+17,adjuvant,O
6.41663E+17,chemo,O
6.41663E+17,after,O
6.41663E+17,surgery,O
6.41663E+17,in,O
6.41663E+17,NSCLC,B-Disease
6.41664E+17,Bevacizumab,B-Drug
6.41664E+17,failed,O
6.41664E+17,to,O
6.41664E+17,improve,O
6.41664E+17,survival,O
6.41664E+17,when,O
6.41664E+17,added,O
6.41664E+17,to,O
6.41664E+17,chemotherapy,O
6.41664E+17,in,O
6.41664E+17,resected,O
6.41664E+17,NSCLC,B-Disease
6.41664E+17,after,O
6.41664E+17,1500,O
6.41664E+17,patiets,O
6.41664E+17,#,O
6.41664E+17,WCLC2015,O
6.4173E+17,#,O
6.4173E+17,WCLC2015,O
6.4173E+17,Adding,O
6.4173E+17,bevacizumab,B-Drug
6.4173E+17,to,O
6.4173E+17,chemotherapy,O
6.4173E+17,in,O
6.4173E+17,patients,O
6.4173E+17,with,O
6.4173E+17,resected,O
6.4173E+17,NSCLC,B-Disease
6.4173E+17,did,O
6.4173E+17,not,O
6.4173E+17,improve,O
6.4173E+17,overall,O
6.4173E+17,survival,O
6.4173E+17,",",O
6.4173E+17,according,O
6.4173E+17,to,O
6.4173E+17,new,O
6.4173E+17,data,O
6.4173E+17,.,O
6.41732E+17,Anxiety,B-Symptom
6.41732E+17,so,O
6.41732E+17,i,O
6.41732E+17,took,O
6.41732E+17,3,O
6.41732E+17,k,O
6.41732E+17,pins,O
6.41732E+17,needed,O
6.41732E+17,engry,O
6.41732E+17,so,O
6.41732E+17,drink,O
6.41732E+17,a,O
6.41732E+17,redbull,O
6.41732E+17,&,O
6.41732E+17,amp,O
6.41732E+17,;,O
6.41732E+17,did,O
6.41732E+17,some,O
6.41732E+17,subutex,B-Drug
6.41732E+17,now,O
6.41732E+17,im,O
6.41732E+17,drinkin,O
6.41732E+17,a,O
6.41732E+17,cold,O
6.41732E+17,one,O
6.41732E+17,lol,O
6.41732E+17,i,O
6.41732E+17,should,O
6.41732E+17,be,O
6.41732E+17,called,O
6.41732E+17,sir,O
6.41732E+17,mix,O
6.41732E+17,alot,O
6.41801E+17,If,O
6.41801E+17,i,O
6.41801E+17,was,O
6.41801E+17,ever,O
6.41801E+17,to,O
6.41801E+17,become,O
6.41801E+17,a,O
6.41801E+17,drug,O
6.41801E+17,addict,O
6.41801E+17,it,O
6.41801E+17,would,O
6.41801E+17,be,O
6.41801E+17,to,O
6.41801E+17,something,O
6.41801E+17,like,O
6.41801E+17,ritalin,B-Drug
6.41801E+17,just,O
6.41801E+17,so,O
6.41801E+17,i,O
6.41801E+17,could,O
6.41801E+17,focus,B-Symptom
6.41801E+17,in,O
6.41801E+17,school,O
6.41818E+17,day,O
6.41818E+17,3,O
6.41818E+17,with,O
6.41818E+17,no,O
6.41818E+17,cymbalta,B-Drug
6.41818E+17,.,O
6.41818E+17,depression,B-Disease
6.41818E+17,is,O
6.41818E+17,starting,O
6.41818E+17,to,O
6.41818E+17,hurt,O
6.41818E+17,again,O
6.41831E+17,vyvanse,B-Drug
6.41831E+17,makes,O
6.41831E+17,me,O
6.41831E+17,like,O
6.41831E+17,SOOOO,O
6.41831E+17,damn,O
6.41831E+17,happy,B-Symptom
6.41831E+17,",",O
6.41831E+17,until,O
6.41831E+17,the,O
6.41831E+17,next,O
6.41831E+17,day,O
6.41831E+17,then,O
6.41831E+17,im,O
6.41831E+17,like,O
6.41831E+17,painfully,O
6.41831E+17,depressed,B-Symptom
6.41831E+17,but,O
6.41831E+17,like,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,.,O
6.41831E+17,worth,O
6.41831E+17,it,O
6.41838E+17,So,O
6.41838E+17,fellow,O
6.41838E+17,pre,O
6.41838E+17,-,O
6.41838E+17,menopausal,O
6.41838E+17,breast,B-Disease
6.41838E+17,cancer,I-Disease
6.41838E+17,survivors,O
6.41838E+17,-,O
6.41838E+17,what,O
6.41838E+17,is,O
6.41838E+17,tamoxifen,B-Drug
6.41838E+17,like,O
6.41838E+17,?,O
6.4188E+17,I,O
6.4188E+17,',O
6.4188E+17,m,O
6.4188E+17,off,O
6.4188E+17,birth,O
6.4188E+17,control,O
6.4188E+17,and,O
6.4188E+17,Zoloft,B-Drug
6.4188E+17,and,O
6.4188E+17,I,O
6.4188E+17,',O
6.4188E+17,m,O
6.4188E+17,losing,O
6.4188E+17,weight,O
6.4188E+17,again,O
6.4188E+17,!,O
6.4188E+17,Woo,O
6.4188E+17,hoo,O
6.4188E+17,",",O
6.4188E+17,no,O
6.4188E+17,more,O
6.4188E+17,medicine,O
6.4188E+17,that,O
6.4188E+17,makes,O
6.4188E+17,me,O
6.4188E+17,fat,O
6.4188E+17,!,O
6.4188E+17,!,O
6.41884E+17,Feeling,O
6.41884E+17,so,O
6.41884E+17,much,O
6.41884E+17,better,O
6.41884E+17,being,O
6.41884E+17,manic,B-Symptom
6.41884E+17,is,O
6.41884E+17,rough,O
6.41884E+17,I,O
6.41884E+17,experience,O
6.41884E+17,racing,B-Symptom
6.41884E+17,thoughts,I-Symptom
6.41884E+17,",",O
6.41884E+17,high,O
6.41884E+17,anxiety,B-Symptom
6.41884E+17,etc,O
6.41884E+17,.,O
6.41884E+17,Lamictal,B-Drug
6.41884E+17,is,O
6.41884E+17,helping,O
6.41884E+17,#,B-Disease
6.41884E+17,BipolarDisorder,I-Disease
6.41884E+17,#,O
6.41884E+17,mania,O
6.41893E+17,It,O
6.41893E+17,was,O
6.41893E+17,all,O
6.41893E+17,fastness,O
6.41893E+17,and,O
6.41893E+17,noise,B-Symptom
6.41893E+17,in,I-Symptom
6.41893E+17,my,I-Symptom
6.41893E+17,head,I-Symptom
6.41893E+17,.,O
6.41893E+17,After,O
6.41893E+17,20mg,O
6.41893E+17,diazepam,O
6.41893E+17,and,O
6.41893E+17,my,O
6.41893E+17,morning,O
6.41893E+17,400mg,O
6.41893E+17,lamotrigine,B-Drug
6.41893E+17,I,O
6.41893E+17,',O
6.41893E+17,m,O
6.41893E+17,finally,O
6.41893E+17,quieter,O
6.41893E+17,&,O
6.41893E+17,amp,O
6.41893E+17,;,O
6.41893E+17,now,O
6.41893E+17,FUCKING,O
6.41893E+17,HAMMERING,O
6.41893E+17,!,O
6.41898E+17,Kelly,O
6.41898E+17,asks,O
6.41898E+17,"""",O
6.41898E+17,Has,O
6.41898E+17,anyone,O
6.41898E+17,had,O
6.41898E+17,a,O
6.41898E+17,Kenalog,B-Drug
6.41898E+17,injection,O
6.41898E+17,?,O
6.41898E+17,I,O
6.41898E+17,',O
6.41898E+17,m,O
6.41898E+17,getting,O
6.41898E+17,them,O
6.41898E+17,tomorrow,O
6.41898E+17,to,O
6.41898E+17,help,O
6.41898E+17,my,O
6.41898E+17,feet,O
6.41898E+17,.,O
6.41898E+17,They,O
6.41898E+17,',O
6.41898E+17,ve,O
6.41898E+17,been,O
6.41898E+17,swollen,O
6.41898E+17,and,O
6.41898E+17,painful,O
6.41898E+17,for,O
6.41898E+17,2,O
6.41898E+17,days,O
6.41898E+17,"""",O
6.41926E+17,If,O
6.41926E+17,the,O
6.41926E+17,dr,O
6.41926E+17,says,O
6.41926E+17,this,O
6.41926E+17,level,O
6.41926E+17,of,O
6.41926E+17,prednisone,B-Drug
6.41926E+17,might,O
6.41926E+17,make,O
6.41926E+17,you,O
6.41926E+17,have,O
6.41926E+17,trouble,B-Symptom
6.41926E+17,sleeping,I-Symptom
6.41926E+17,.,O
6.41926E+17,.,O
6.41926E+17,.,O
6.41926E+17,you,O
6.41926E+17,might,O
6.41926E+17,not,O
6.41926E+17,wanna,O
6.41926E+17,wash,O
6.41926E+17,it,O
6.41926E+17,down,O
6.41926E+17,w,O
6.41926E+17,a,O
6.41926E+17,jumbo,O
6.41926E+17,cupcake,O
6.41926E+17,before,O
6.41926E+17,bed,O
6.41934E+17,Up,O
6.41934E+17,to,O
6.41934E+17,twenty,O
6.41934E+17,mgs,O
6.41934E+17,of,O
6.41934E+17,Zyprexa,B-Drug
6.41934E+17,and,O
6.41934E+17,still,O
6.41934E+17,the,O
6.41934E+17,intrusive,B-Symptom
6.41934E+17,thoughts,I-Symptom
6.41934E+17,won,O
6.41934E+17,',O
6.41934E+17,t,O
6.41934E+17,stop,O
6.41934E+17,#,B-Drug
6.41934E+17,zyprexa,I-Drug
6.41934E+17,#,O
6.41934E+17,depressiom,O
6.41934E+17,#,B-Symptom
6.41934E+17,intrusivethoughts,I-Symptom
6.41934E+17,#,B-Symptom
6.41934E+17,pain,I-Symptom
6.41934E+17,x,O
6.42027E+17,I,O
6.42027E+17,',O
6.42027E+17,m,O
6.42027E+17,so,O
6.42027E+17,stressed,B-Symptom
6.42027E+17,out,O
6.42027E+17,and,O
6.42027E+17,I,O
6.42027E+17,can,O
6.42027E+17,',O
6.42027E+17,t,O
6.42027E+17,stop,O
6.42027E+17,crying,B-Symptom
6.42027E+17,.,O
6.42027E+17,Everything,B-Symptom
6.42027E+17,is,I-Symptom
6.42027E+17,going,I-Symptom
6.42027E+17,wrong,I-Symptom
6.42027E+17,.,O
6.42027E+17,I,O
6.42027E+17,just,O
6.42027E+17,want,O
6.42027E+17,to,O
6.42027E+17,down,O
6.42027E+17,a,O
6.42027E+17,bottle,O
6.42027E+17,of,O
6.42027E+17,trazodone,B-Drug
6.42027E+17,and,O
6.42027E+17,go,O
6.42027E+17,to,O
6.42027E+17,sleep,B-Symptom
6.42027E+17,forever,I-Symptom
6.42027E+17,.,O
6.42058E+17,FUCK,O
6.42058E+17,all,O
6.42058E+17,the,O
6.42058E+17,sudden,O
6.42058E+17,I,O
6.42058E+17,',O
6.42058E+17,m,O
6.42058E+17,throwing,B-Symptom
6.42058E+17,up,I-Symptom
6.42058E+17,again,O
6.42058E+17,.,O
6.42058E+17,.,O
6.42058E+17,.,O
6.42058E+17,.,O
6.42058E+17,been,O
6.42058E+17,nauseated,B-Symptom
6.42058E+17,for,O
6.42058E+17,two,O
6.42058E+17,days,O
6.42058E+17,.,O
6.42058E+17,Seroquel,B-Drug
6.42058E+17,withdrawals,B-Symptom
6.42058E+17,.,O
6.42064E+17,Lucentis,O
6.42064E+17,v,O
6.42064E+17,Avastin,B-Drug
6.42064E+17,for,O
6.42064E+17,degenerating,O
6.42064E+17,sight,O
6.42064E+17,Regulators,O
6.42064E+17,remain,O
6.42064E+17,blind,O
6.42064E+17,to,O
6.42064E+17,need,O
6.42064E+17,to,O
6.42064E+17,use,O
6.42064E+17,latter,O
6.42064E+17,and,O
6.42064E+17,save,O
6.42064E+17,millions,O
6.42064E+17,for,O
6.42064E+17,the,O
6.42064E+17,NHS,O
6.42064E+17,.,O
6.42064E+17,Thanks,O
6.42064E+17,as,O
6.42064E+17,ever,O
6.42064E+17,Roche,O
6.42064E+17,!,O
6.42104E+17,Seroquel,B-Drug
6.42104E+17,sounds,O
6.42104E+17,like,O
6.42104E+17,a,O
6.42104E+17,character,O
6.42104E+17,from,O
6.42104E+17,"""",O
6.42104E+17,Guardians,O
6.42104E+17,of,O
6.42104E+17,the,O
6.42104E+17,Galaxy,O
6.42104E+17,"""",O
6.42104E+17,tbh,O
